0,0,
0,1,R2 L' D L D' R2 D' R2 B' L' B L U2 R2 D L2
0,2,R' B2 D B2 U' L2 B L D L' D2 B' U R
1,0,
1,1,L' B' L B D2 R2 U2 R2 B2 U B U' B2 D2 B'
1,2,B D' B' U D B2 D2 B' R' B R D2 B2 U'
1,3,L' D F L D F' R U' F' U' R' D2 L'
1,4,L2 U F' R2 F U' L2 U F' R2 F U'
1,5,F U' F' R B2 D' B D B' R' U B' U' B U2 L'
2,0,
2,1,U' F' U' F R' U' B' D2 F D F' R D B U'
2,2,F L2 F' U R2 U' F L2 F' U R2 U'
2,3,U L' B' R' B R L U2 R2 U' R U R U
3,0,
3,1,U2 L F' D R F D R2 D2 L' U' F' U
3,2,D' F' R U' F R' U' D B R' U B' R U
3,3,U2 L' B D' R' B' D' R2 D2 L U B U'
4,0,
4,1,R' U R2 D L' B2 L D' R2 U' R U'
4,2,B U' F U2 B2 D' R2 U D F' U' B U'
4,3,L2 B L' D2 R F' R' D2 L2 B' L
5,0,
5,1,U' L2 F2 B L B' U' L' F2 L' F' L' F
5,2,B' R' F' R F B U2 F2 U' F U F U2
5,3,F' L F L F2 L U B L' F2 B' L2 U
6,0,
6,1,R' F U' R F' B U' L F' U L' F B' U
